Stream Name,Client IP,Attack Type,Method,Request Path,Status Code
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,104.238.38.34,Environment File,GET,/.env HTTP/1.1,301
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,155.254.34.249,Environment File,GET,/.env HTTP/1.1,301
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,195.210.106.17,Environment File,GET,/.env HTTP/1.1,301
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,4.205.67.132,Config File Access,GET,/config.php HTTP/1.1,301
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,210.211.122.97,Info Disclosure,POST,/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1,400
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,210.211.122.97,Info Disclosure,POST,/cgi-bin/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/bin/sh HTTP/1.1,400
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,210.211.122.97,Path Traversal,GET,/index.php?lang=../../../../../../../../tmp/index1 HTTP/1.1,404
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,120.48.124.94,Info Disclosure,POST,/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1,400
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,193.25.167.107,Environment File,GET,/.env HTTP/1.1,301
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,146.103.1.61,Environment File,GET,/.env HTTP/1.1,301
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,31.57.82.124,Environment File,GET,/.env HTTP/1.1,301
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,198.105.121.123,Environment File,GET,/.env HTTP/1.1,301
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,80.96.70.80,Environment File,GET,/.env HTTP/1.1,301
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,35.90.7.186,Admin Panel Scan,GET,/phpmyadmin/ HTTP/1.1,301
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,103.75.229.48,Environment File,GET,/.env HTTP/1.1,301
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,82.23.227.26,Environment File,GET,/.env HTTP/1.1,301
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,4.204.200.32,Admin Panel Scan,GET,/wp-admin/sc.php HTTP/1.1,301
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,4.204.200.32,Admin Panel Scan,GET,/wp-admin/css/bolt.php HTTP/1.1,301
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,4.204.200.32,Admin Panel Scan,GET,/wp-content/admin.php HTTP/1.1,301
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,86.38.26.81,Environment File,GET,/.env HTTP/1.1,301
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,46.203.59.135,Environment File,GET,/.env HTTP/1.1,301
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,140.99.201.11,Environment File,GET,/.env HTTP/1.1,301
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,45.83.57.188,Environment File,GET,/.env HTTP/1.1,301
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,82.23.203.15,Environment File,GET,/.env HTTP/1.1,301
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,173.211.30.169,Environment File,GET,/.env HTTP/1.1,301
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,45.67.0.139,Environment File,GET,/.env HTTP/1.1,301
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,104.222.187.219,Environment File,GET,/.env HTTP/1.1,301
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,82.25.215.164,Environment File,GET,/.env HTTP/1.1,301
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,136.0.207.42,Environment File,GET,/.env HTTP/1.1,301
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,185.152.66.235,Environment File,GET,/.env HTTP/1.1,301
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,207.244.239.45,Info Disclosure,POST,/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1,400
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,207.244.239.45,Info Disclosure,POST,/cgi-bin/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/bin/sh HTTP/1.1,400
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,207.244.239.45,Path Traversal,GET,/index.php?lang=../../../../../../../../tmp/index1 HTTP/1.1,404
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,185.171.254.85,Environment File,GET,/.env HTTP/1.1,301
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,154.22.5.136,Environment File,GET,/.env HTTP/1.1,301
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,154.22.5.136,Info Disclosure,GET,/phpinfo.php HTTP/1.1,301
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,154.22.5.136,Info Disclosure,GET,/info.php HTTP/1.1,301
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,154.22.5.136,Info Disclosure,GET,/test.php HTTP/1.1,301
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,157.245.153.221,Git Exposure,GET,/.git/config HTTP/1.1,301
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,34.18.216.58,Environment File,GET,/.env HTTP/1.1,301
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,166.88.3.202,Environment File,GET,/.env HTTP/1.1,301
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,38.154.224.135,Environment File,GET,/.env HTTP/1.1,301
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,120.241.79.66,Info Disclosure,POST,/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1,400
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,120.241.79.66,Info Disclosure,POST,/cgi-bin/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/bin/sh HTTP/1.1,400
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,40.83.92.30,Admin Panel Scan,GET,/wp-admin/css/colors/blue/index.php HTTP/1.1,301
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,40.83.92.30,Admin Panel Scan,GET,/admin.php?p= HTTP/1.1,301
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,40.83.92.30,Admin Panel Scan,GET,/wp-admin/maint/about.php HTTP/1.1,301
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,40.83.92.30,Admin Panel Scan,GET,/wp-admin/network/wp-conflg.php?p= HTTP/1.1,301
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,40.83.92.30,Admin Panel Scan,GET,/admin.php HTTP/1.1,301
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,40.83.92.30,Admin Panel Scan,GET,/wp-admin/maint/maint.php HTTP/1.1,301
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,40.83.92.30,Admin Panel Scan,GET,/wp-admin/js/wp-conflg.php?p= HTTP/1.1,301
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,40.83.92.30,Admin Panel Scan,GET,/wp-admin/wp-conflg.php?p= HTTP/1.1,301
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,40.83.92.30,Admin Panel Scan,GET,/wp-admin/css/wp-conflg.php?p= HTTP/1.1,301
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,40.83.92.30,Admin Panel Scan,GET,/wp-admin/maint/admin.php HTTP/1.1,301
_httpd_access_log_Crown_Royal_USA_PROD_Lapine,40.83.92.30,Admin Panel Scan,GET,/wp-admin/network/plugins.php HTTP/1.1,301
